Time (min),y
0,0.0
1,0.0021184813539797927
2,0.00323452350068995
3,0.003654170982705996
4,0.003686563616308901
5,0.003839676691661553
6,0.004937470408781702
7,0.007613309694348618
8,0.011535505234768229
9,0.015978874548367137
10,0.020161494472579384
11,0.023549027086782
12,0.025724236204120676
13,0.026436124977051192
14,0.02611617040971547
15,0.025627617910274937
16,0.02534587053824082
17,0.02523554325588195
18,0.025364719644657273
19,0.025180393887965682
20,0.022884835059953267
21,0.019577337785033355
22,0.015258241109250248
23,0.010059853903593687
24,0.004549523884816581
25,-0.0015142245271318648
26,-0.00787580397123853
27,-0.013023734325185487
28,-0.015996137286886383
29,-0.01750591604697293
30,-0.01838475043694552
31,-0.01882815909739778
32,-0.018610513439659707
33,-0.017582033970295476
34,-0.016229242624850163
35,-0.015280166058999015
36,-0.014710725959621852
37,-0.01392726140796265
38,-0.012322058944911955
39,-0.009669164095828775
40,-0.007491659000360028
41,-0.0045581759406955495
42,-0.0004003514791878039
43,0.004813819928595347
44,0.010909855029565084
45,0.017579381957743636
46,0.024384942130523158
47,0.030883826468658518
48,0.03664470093584166
49,0.04147162870376514
50,0.04539035965363649
51,0.048435273514042164
52,0.05064075001356854
53,0.052042698388462975
54,0.05273828239543999
55,0.052905291821117695
56,0.0527270121961045
57,0.05238672905100884
58,0.052067727916439134
59,0.05195329432300382
60,0.05222664967363534
61,0.05300537932178563
62,0.054217653822718356
63,0.05575767827444984
64,0.05751965777499647
65,0.05939779742237455
66,0.061288172238925916
67,0.06313465699081236
68,0.06493175013210706
69,0.06667638541341617
70,0.06836549658534588
71,0.06999601739850236
72,0.07156488160349177
73,0.07306902295092031
74,0.07450533115846647
75,0.07586769165913963
76,0.07714511202927476
77,0.0783261532802716
78,0.07939937642352989
79,0.08035480211913129
80,0.08119651165872481
81,0.08193644420947686
82,0.08258662478551851
83,0.08315907840098069
84,0.08366583006999453
85,0.08411890480669106
86,0.08453032762520127
87,0.08491212353965621
88,0.08527631756418699
89,0.08563493471292455
90,0.086
91,0.086
92,0.086
93,0.086
94,0.086
95,0.086
96,0.086
97,0.086
98,0.086
99,0.086
100,0.086
